customer_id,signup_date,churn_month,monthly_charges,total_charges,payment_type_id,payment_type,contract_type_id,contract_type,gender,senior_citizen,partner,dependents,paperless_billing,phone_service,multiple_lines,internet_service_type_id,internet_service_type,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies
0002-ORFBO,"2021-04-21 18:07:34",NULL,65.6,593.3,2,"Mailed check",2,"One year",Female,0,Yes,Yes,Yes,Yes,No,1,DSL,No,Yes,No,Yes,Yes,No
0003-MKNFE,"2021-04-21 18:07:34",NULL,59.9,542.4,2,"Mailed check",1,Month-to-month,Male,0,No,No,No,Yes,Yes,1,DSL,No,No,No,No,No,Yes
0004-TLHLJ,"2021-09-21 18:07:34",2022-01-31,73.9,280.85,1,"Electronic check",1,Month-to-month,Male,0,No,No,Yes,Yes,No,2,"Fiber optic",No,No,Yes,No,No,No
0011-IGKFF,"2020-12-21 18:07:34",2022-01-31,98,1237.85,1,"Electronic check",1,Month-to-month,Male,1,Yes,No,Yes,Yes,No,2,"Fiber optic",No,Yes,Yes,No,Yes,Yes
0013-EXCHZ,"2021-10-21 18:07:34",2022-01-31,83.9,267.4,2,"Mailed check",1,Month-to-month,Female,1,Yes,No,Yes,Yes,No,2,"Fiber optic",No,No,No,Yes,Yes,No
0013-MHZWF,"2021-04-21 18:07:34",NULL,69.4,571.45,4,"Credit card (automatic)",1,Month-to-month,Female,0,No,Yes,Yes,Yes,No,1,DSL,No,No,No,Yes,Yes,Yes
0013-SMEOE,"2016-02-21 18:07:34",NULL,109.7,7904.25,3,"Bank transfer (automatic)",3,"Two year",Female,1,Yes,No,Yes,Yes,No,2,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes
0014-BMAQU,"2016-10-21 18:07:34",NULL,84.65,5377.8,4,"Credit card (automatic)",3,"Two year",Male,0,Yes,No,Yes,Yes,Yes,2,"Fiber optic",Yes,No,No,Yes,No,No
0015-UOCOJ,"2021-06-21 18:07:34",NULL,48.2,340.35,1,"Electronic check",1,Month-to-month,Female,1,No,No,Yes,Yes,No,1,DSL,Yes,No,No,No,No,No
0016-QLJIS,"2016-08-21 18:07:34",NULL,90.45,5957.9,2,"Mailed check",3,"Two year",Female,0,Yes,Yes,Yes,Yes,Yes,1,DSL,Yes,Yes,Yes,Yes,Yes,Yes
0017-DINOC,"2017-07-21 18:07:34",NULL,45.2,2460.55,4,"Credit card (automatic)",3,"Two year",Male,0,No,No,No,No,"No phone service",1,DSL,Yes,No,No,Yes,Yes,No
0017-IUDMW,"2016-01-21 18:07:34",NULL,116.8,8456.75,4,"Credit card (automatic)",3,"Two year",Female,0,Yes,Yes,Yes,Yes,Yes,2,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes
0018-NYROU,"2021-08-21 18:07:34",NULL,68.95,351.5,1,"Electronic check",1,Month-to-month,Female,0,Yes,No,Yes,Yes,No,2,"Fiber optic",No,No,No,No,No,No
0019-EFAEP,"2016-01-21 18:07:34",NULL,101.3,7261.25,3,"Bank transfer (automatic)",3,"Two year",Female,0,No,No,Yes,Yes,Yes,2,"Fiber optic",Yes,Yes,Yes,No,Yes,No
0019-GFNTW,"2017-05-21 18:07:34",NULL,45.05,2560.1,3,"Bank transfer (automatic)",3,"Two year",Female,0,No,No,No,No,"No phone service",1,DSL,Yes,Yes,Yes,Yes,No,No
0020-INWCK,"2016-02-21 18:07:34",NULL,95.75,6849.4,4,"Credit card (automatic)",3,"Two year",Female,0,Yes,Yes,Yes,Yes,Yes,2,"Fiber optic",No,Yes,Yes,No,No,Yes
0020-JDNXP,"2019-03-21 18:07:34",NULL,61.25,1993.2,2,"Mailed check",2,"One year",Female,0,Yes,Yes,No,No,"No phone service",1,DSL,Yes,No,Yes,Yes,Yes,Yes
0021-IKXGC,"2021-12-21 18:07:34",NULL,72.1,72.1,1,"Electronic check",1,Month-to-month,Female,1,No,No,Yes,Yes,Yes,2,"Fiber optic",No,No,No,No,No,No
0022-TCJCI,"2018-04-21 18:07:34",2022-01-31,62.7,2791.5,4,"Credit card (automatic)",2,"One year",Male,1,No,No,No,Yes,No,1,DSL,Yes,No,Yes,No,No,Yes
0023-HGHWL,"2021-12-21 18:07:34",2022-01-31,25.1,25.1,1,"Electronic check",1,Month-to-month,Male,1,No,No,Yes,No,"No phone service",1,DSL,No,No,No,No,No,No
0023-UYUPN,"2017-11-21 18:07:34",NULL,25.2,1306.3,1,"Electronic check",2,"One year",Female,1,Yes,No,No,Yes,Yes,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0023-XUOPT,"2020-12-21 18:07:34",2022-01-31,94.1,1215.6,1,"Electronic check",1,Month-to-month,Female,0,Yes,No,No,Yes,Yes,2,"Fiber optic",No,Yes,Yes,No,Yes,No
0027-KWYKW,"2020-02-21 18:07:34",NULL,83.75,1849.95,1,"Electronic check",1,Month-to-month,Female,0,Yes,Yes,Yes,Yes,Yes,2,"Fiber optic",No,No,No,No,Yes,No
0030-FNXPP,"2021-10-21 18:07:34",NULL,19.85,57.2,2,"Mailed check",1,Month-to-month,Female,0,No,No,No,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0031-PVLZI,"2021-09-21 18:07:34",2022-01-31,20.35,76.35,2,"Mailed check",1,Month-to-month,Female,0,Yes,Yes,No,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0032-PGELS,"2021-12-21 18:07:34",2022-01-31,30.5,30.5,3,"Bank transfer (automatic)",1,Month-to-month,Female,0,Yes,Yes,No,No,"No phone service",1,DSL,Yes,No,No,No,No,No
0036-IHMOT,"2017-06-21 18:07:34",NULL,103.7,5656.75,3,"Bank transfer (automatic)",2,"One year",Female,0,Yes,Yes,Yes,Yes,No,2,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes
0040-HALCW,"2017-07-21 18:07:34",NULL,20.4,1090.6,4,"Credit card (automatic)",3,"Two year",Male,0,Yes,Yes,No,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0042-JVWOJ,"2019-11-21 18:07:34",NULL,19.6,471.85,3,"Bank transfer (automatic)",2,"One year",Male,0,No,No,Yes,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0042-RLHYP,"2016-04-21 18:07:34",NULL,19.7,1396.9,3,"Bank transfer (automatic)",3,"Two year",Female,0,Yes,Yes,No,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0048-LUMLS,"2018-12-21 18:07:34",NULL,91.2,3247.55,4,"Credit card (automatic)",2,"One year",Male,0,Yes,Yes,No,Yes,No,2,"Fiber optic",No,No,No,No,Yes,Yes
0048-PIHNL,"2017-12-21 18:07:34",NULL,20.45,900.9,3,"Bank transfer (automatic)",2,"One year",Female,0,Yes,No,No,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0052-DCKON,"2016-07-21 18:07:34",NULL,115.8,7942.15,3,"Bank transfer (automatic)",2,"One year",Male,0,Yes,No,No,Yes,Yes,2,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes
0052-YNYOT,"2016-06-21 18:07:34",NULL,20.55,1343.4,1,"Electronic check",2,"One year",Female,0,No,No,No,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0056-EPFBG,"2020-05-21 18:07:34",NULL,39.4,825.4,4,"Credit card (automatic)",3,"Two year",Male,0,Yes,Yes,Yes,No,"No phone service",1,DSL,Yes,No,Yes,Yes,No,No
0057-QBUQH,"2018-06-21 18:07:34",NULL,25.1,1070.15,1,"Electronic check",3,"Two year",Female,0,No,Yes,Yes,Yes,Yes,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0058-EVZWM,"2017-06-21 18:07:34",NULL,89.8,4959.6,3,"Bank transfer (automatic)",1,Month-to-month,Female,0,Yes,No,Yes,Yes,Yes,2,"Fiber optic",Yes,No,No,No,Yes,No
0060-FUALY,"2017-02-21 18:07:34",NULL,94.75,5597.65,1,"Electronic check",1,Month-to-month,Female,0,Yes,No,Yes,Yes,Yes,2,"Fiber optic",Yes,Yes,No,No,Yes,No
0064-SUDOG,"2021-01-21 18:07:34",NULL,20.3,224.5,3,"Bank transfer (automatic)",3,"Two year",Female,0,Yes,Yes,No,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0064-YIJGF,"2019-10-21 18:07:34",NULL,75.75,1929,3,"Bank transfer (automatic)",1,Month-to-month,Male,0,Yes,Yes,Yes,Yes,Yes,2,"Fiber optic",No,No,No,No,No,No
0067-DKWBL,"2021-11-21 18:07:34",2022-01-31,49.25,91.1,1,"Electronic check",1,Month-to-month,Male,1,No,No,Yes,Yes,No,1,DSL,Yes,No,No,No,No,No
0068-FIGTF,"2019-10-21 18:07:34",NULL,78.2,2078.95,2,"Mailed check",2,"One year",Female,0,No,No,No,Yes,No,1,DSL,No,Yes,Yes,Yes,Yes,Yes
0071-NDAFP,"2019-12-21 18:07:34",NULL,25.5,630.6,4,"Credit card (automatic)",3,"Two year",Male,0,Yes,Yes,No,Yes,Yes,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0074-HDKDG,"2019-12-21 18:07:34",NULL,61.6,1611,3,"Bank transfer (automatic)",2,"One year",Male,0,Yes,Yes,Yes,Yes,No,1,DSL,Yes,Yes,Yes,No,No,No
0076-LVEPS,"2019-08-21 18:07:34",NULL,45,1242.45,2,"Mailed check",1,Month-to-month,Male,0,No,Yes,Yes,No,"No phone service",1,DSL,Yes,Yes,Yes,Yes,No,No
0078-XZMHT,"2016-01-21 18:07:34",NULL,85.15,6316.2,3,"Bank transfer (automatic)",3,"Two year",Male,0,Yes,No,Yes,Yes,Yes,1,DSL,No,Yes,Yes,Yes,Yes,Yes
0080-EMYVY,"2020-11-21 18:07:34",NULL,51.45,727.85,4,"Credit card (automatic)",2,"One year",Female,0,No,No,No,Yes,No,1,DSL,No,Yes,No,No,No,No
0080-OROZO,"2019-02-21 18:07:34",NULL,99.25,3532,1,"Electronic check",2,"One year",Female,0,No,No,Yes,Yes,No,2,"Fiber optic",No,No,Yes,Yes,Yes,Yes
0082-LDZUE,"2021-12-21 18:07:34",NULL,44.3,44.3,2,"Mailed check",1,Month-to-month,Male,0,No,No,Yes,Yes,No,1,DSL,No,No,No,No,No,No
0082-OQIQY,"2019-08-21 18:07:34",NULL,94.2,2607.6,1,"Electronic check",1,Month-to-month,Male,0,No,No,Yes,Yes,No,2,"Fiber optic",No,No,No,Yes,Yes,Yes
0083-PIVIK,"2016-09-21 18:07:34",NULL,81.25,5567.55,1,"Electronic check",2,"One year",Male,0,No,No,No,Yes,Yes,1,DSL,Yes,Yes,Yes,Yes,Yes,No
0089-IIQKO,"2018-10-21 18:07:34",NULL,99.95,3767.4,4,"Credit card (automatic)",1,Month-to-month,Female,0,Yes,Yes,Yes,Yes,Yes,2,"Fiber optic",No,No,No,Yes,Yes,Yes
0093-EXYQL,"2018-09-21 18:07:34",NULL,91.55,3673.6,1,"Electronic check",1,Month-to-month,Female,1,No,No,Yes,Yes,No,2,"Fiber optic",No,No,No,No,Yes,Yes
0093-XWZFY,"2018-09-21 18:07:34",2022-01-31,104.5,4036.85,4,"Credit card (automatic)",1,Month-to-month,Male,0,No,No,Yes,Yes,Yes,2,"Fiber optic",No,Yes,Yes,No,Yes,Yes
0094-OIFMO,"2021-02-21 18:07:34",2022-01-31,95,1120.3,1,"Electronic check",1,Month-to-month,Female,1,No,No,Yes,Yes,No,2,"Fiber optic",No,Yes,No,No,Yes,Yes
0096-BXERS,"2021-07-21 18:07:34",NULL,50.35,314.55,1,"Electronic check",1,Month-to-month,Female,0,Yes,No,No,Yes,Yes,1,DSL,No,No,No,No,No,No
0096-FCPUF,"2019-07-21 18:07:34",NULL,64.5,1888.45,2,"Mailed check",1,Month-to-month,Male,0,No,No,Yes,Yes,Yes,1,DSL,Yes,No,No,No,No,Yes
0098-BOWSO,"2019-10-21 18:07:34",NULL,19.4,529.8,1,"Electronic check",1,Month-to-month,Male,0,No,No,Yes,Yes,No,3,None,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service"
0100-DUVFC,"2016-03-21 18:07:34",NULL,104.8,7308.95,1,"Electronic check",2,"One year",Male,1,Yes,No,Yes,Yes,Yes,2,"Fiber optic",No,Yes,Yes,No,Yes,Yes
0103-CSITQ,"2017-04-21 18:07:34",NULL,109.4,6252.7,3,"Bank transfer (automatic)",2,"One year",Female,0,Yes,No,Yes,Yes,Yes,2,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes
0104-PPXDV,"2017-03-21 18:07:34",NULL,50.3,2878.55,4,"Credit card (automatic)",2,"One year",Male,0,Yes,No,No,Yes,No,1,DSL,No,No,Yes,No,No,No
